name,code,year,corop_code,corop,region_code,region,province_code,province
Arnhem,GM0202,2026,CR15,Arnhem/Nijmegen,AM07,Midden-Gelderland,PV25,Gelderland
Assen,GM0106,2026,CR07,Noord-Drenthe,AM01,Groningen,PV22,Drenthe
Asten,GM0743,2026,CR36,Zuidoost-Noord-Brabant,AM32,Helmond-De Peel,PV30,Noord-Brabant
Baarle-Nassau,GM0744,2026,CR34,Midden-Noord-Brabant,AM26,Midden-Brabant,PV30,Noord-Brabant
Baarn,GM0308,2026,CR17,Utrecht,AM14,Amersfoort,PV26,Utrecht
Barendrecht,GM0489,2026,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Barneveld,GM0203,2026,CR13,Veluwe,AM38,FoodValley,PV25,Gelderland
Bedum,GM0005,2018,CR03,Overig Groningen,AM01,Groningen,PV20,Groningen
Beek,GM0888,2023,CR39,Zuid-Limburg,AM30,Zuid-Limburg,PV31,Limburg
Beek (L.),GM0888,2026,CR39,Zuid-Limburg,AM30,Zuid-Limburg,PV31,Limburg
Beekdaelen,GM1954,2026,CR39,Zuid-Limburg,AM30,Zuid-Limburg,PV31,Limburg
Beemster,GM0370,2021,CR23,Groot-Amsterdam,AM17,Zaanstreek/Waterland,PV27,Noord-Holland
Beesel,GM0889,2026,CR37,Noord-Limburg,AM29,Noord-Limburg,PV31,Limburg
Bellingwedde,GM0007,2017,CR01,Oost-Groningen,AM01,Groningen,PV20,Groningen
Berg en Dal,GM1945,2026,CR15,Arnhem/Nijmegen,AM08,Rijk van Nijmegen,PV25,Gelderland
Bergambacht,GM0491,2014,CR28,Oost-Zuid-Holland,AM20,Midden-Holland,PV28,Zuid-Holland
Bergeijk,GM1724,2026,CR36,Zuidoost-Noord-Brabant,AM28,Zuidoost-Brabant,PV30,Noord-Brabant
Bergen (L.),GM0893,2026,CR37,Noord-Limburg,AM29,Noord-Limburg,PV31,Limburg
Bergen (NH.),GM0373,2026,CR19,Alkmaar en omgeving,AM15,Noord-Holland Noord,PV27,Noord-Holland
Bergen op Zoom,GM0748,2026,CR33,West-Noord-Brabant,AM25,West-Brabant,PV30,Noord-Brabant
Berkelland,GM1859,2026,CR14,Achterhoek,AM09,Achterhoek,PV25,Gelderland
Bernheze,GM1721,2026,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Bernisse,GM0568,2014,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Best,GM0753,2026,CR36,Zuidoost-Noord-Brabant,AM28,Zuidoost-Brabant,PV30,Noord-Brabant
Beuningen,GM0209,2026,CR15,Arnhem/Nijmegen,AM08,Rijk van Nijmegen,PV25,Gelderland
Beverwijk,GM0375,2026,CR20,IJmond,AM37,Zuid-Kennemerland en IJmond,PV27,Noord-Holland
Binnenmaas,GM0585,2018,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Bladel,GM1728,2026,CR36,Zuidoost-Noord-Brabant,AM28,Zuidoost-Brabant,PV30,Noord-Brabant
Blaricum,GM0376,2026,CR24,Het Gooi en Vechtstreek,AM12,Gooi en Vechtstreek,PV27,Noord-Holland
Bloemendaal,GM0377,2026,CR21,Agglomeratie Haarlem,AM37,Zuid-Kennemerland en IJmond,PV27,Noord-Holland
Boarnsterhim,GM0055,2013,CR04,Noord-Friesland,,,PV21,Fryslân
Bodegraven,GM0497,2010,CR28,Oost-Zuid-Holland,,,PV28,Zuid-Holland
Bodegraven-Reeuwijk,GM1901,2026,CR28,Oost-Zuid-Holland,AM20,Midden-Holland,PV28,Zuid-Holland
Boekel,GM0755,2026,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Bolsward,GM0064,2010,CR05,Zuidwest-Friesland,,,PV21,Fryslân
Borger-Odoorn,GM1681,2026,CR08,Zuidoost-Drenthe,AM03,Drenthe,PV22,Drenthe
Borne,GM0147,2026,CR12,Twente,AM05,Twente,PV23,Overijssel
Borsele,GM0654,2026,CR32,Overig Zeeland,AM24,Zeeland,PV29,Zeeland
Boskoop,GM0499,2013,CR28,Oost-Zuid-Holland,,,PV28,Zuid-Holland
Boxmeer,GM0756,2021,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Boxtel,GM0757,2026,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Breda,GM0758,2026,CR33,West-Noord-Brabant,AM25,West-Brabant,PV30,Noord-Brabant
Breukelen,GM0311,2010,CR17,Utrecht,,,PV26,Utrecht
Brielle,GM0501,2022,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Bronckhorst,GM1876,2026,CR14,Achterhoek,AM09,Achterhoek,PV25,Gelderland
Brummen,GM0213,2026,CR14,Achterhoek,AM06,Veluwe Stedendriehoek,PV25,Gelderland
Brunssum,GM0899,2026,CR39,Zuid-Limburg,AM30,Zuid-Limburg,PV31,Limburg
