month,geo,programme,seniority,bucket,n
2026-08,r:holland-rijnland,informatica,senior,57500,1
2026-08,r:midden-brabant,all,all,45000,1
2026-08,r:midden-brabant,all,medior,45000,1
2026-08,r:midden-brabant,informatica,all,45000,1
2026-08,r:midden-brabant,informatica,medior,45000,1
2026-08,r:midden-gelderland,all,all,35000,1
2026-08,r:midden-gelderland,all,all,42500,1
2026-08,r:midden-gelderland,all,all,62500,1
2026-08,r:midden-gelderland,all,all,70000,1
2026-08,r:midden-gelderland,all,senior,62500,1
2026-08,r:midden-gelderland,all,senior,70000,1
2026-08,r:midden-gelderland,all,unknown,35000,1
2026-08,r:midden-gelderland,all,unknown,42500,1
2026-08,r:midden-gelderland,business-it-management,all,42500,1
2026-08,r:midden-gelderland,business-it-management,unknown,42500,1
2026-08,r:midden-gelderland,informatica,all,42500,1
2026-08,r:midden-gelderland,informatica,all,62500,1
2026-08,r:midden-gelderland,informatica,all,70000,1
2026-08,r:midden-gelderland,informatica,senior,62500,1
2026-08,r:midden-gelderland,informatica,senior,70000,1
2026-08,r:midden-gelderland,informatica,unknown,42500,1
2026-08,r:midden-holland,all,all,45000,1
2026-08,r:midden-holland,all,all,55000,1
2026-08,r:midden-holland,all,unknown,45000,1
2026-08,r:midden-holland,all,unknown,55000,1
2026-08,r:midden-holland,business-it-management,all,55000,1
2026-08,r:midden-holland,business-it-management,unknown,55000,1
2026-08,r:midden-holland,informatica,all,45000,1
2026-08,r:midden-holland,informatica,all,55000,1
2026-08,r:midden-holland,informatica,unknown,45000,1
2026-08,r:midden-holland,informatica,unknown,55000,1
2026-08,r:midden-utrecht,all,all,35000,2
2026-08,r:midden-utrecht,all,all,40000,2
2026-08,r:midden-utrecht,all,all,45000,1
2026-08,r:midden-utrecht,all,all,50000,3
2026-08,r:midden-utrecht,all,all,55000,1
2026-08,r:midden-utrecht,all,all,77500,1
2026-08,r:midden-utrecht,all,senior,50000,3
2026-08,r:midden-utrecht,all,senior,77500,1
2026-08,r:midden-utrecht,all,unknown,35000,2
2026-08,r:midden-utrecht,all,unknown,40000,2
2026-08,r:midden-utrecht,all,unknown,45000,1
2026-08,r:midden-utrecht,all,unknown,55000,1
2026-08,r:midden-utrecht,informatica,all,50000,2
2026-08,r:midden-utrecht,informatica,all,77500,1
2026-08,r:midden-utrecht,informatica,senior,50000,2
2026-08,r:midden-utrecht,informatica,senior,77500,1
2026-08,r:midden-utrecht,technische-informatica,all,55000,1
2026-08,r:midden-utrecht,technische-informatica,unknown,55000,1
2026-08,r:noord-limburg,all,all,87500,1
2026-08,r:noord-limburg,all,unknown,87500,1
2026-08,r:noord-limburg,business-it-management,all,87500,1
2026-08,r:noord-limburg,business-it-management,unknown,87500,1
2026-08,r:noordoost-brabant,all,all,35000,1
2026-08,r:noordoost-brabant,all,all,52500,1
2026-08,r:noordoost-brabant,all,all,62500,1
